Product_Name,Date_Only,Sales,XGB_Prediction
Avocado on Toast,2025-11-25,0,2.29593575745821
Avocado on Toast,2025-11-26,1,2.2970804050564766
Avocado on Toast,2025-11-27,1,2.535019986331463
Avocado on Toast,2025-11-28,0,2.5477984473109245
Avocado on Toast,2025-11-29,2,2.935938350856304
Avocado on Toast,2025-11-30,4,2.911476768553257
BD Curry Roll,2025-11-01,0,0.0
BD Curry Roll,2025-11-02,0,0.0
BD Curry Roll,2025-11-03,0,0.0
BD Curry Roll,2025-11-04,0,0.0
BD Curry Roll,2025-11-05,0,0.0
BD Curry Roll,2025-11-06,0,0.0
BD Curry Roll,2025-11-07,0,0.0
BD Curry Roll,2025-11-08,0,0.0
BD Curry Roll,2025-11-09,0,0.0
BD Curry Roll,2025-11-10,0,0.0
BD Curry Roll,2025-11-11,0,0.0
BD Curry Roll,2025-11-12,0,0.0
BD Curry Roll,2025-11-13,0,0.0
BD Curry Roll,2025-11-14,0,0.0
BD Curry Roll,2025-11-15,0,0.0
BD Curry Roll,2025-11-16,0,0.0
BD Curry Roll,2025-11-17,0,0.0
BD Curry Roll,2025-11-18,0,0.0
BD Curry Roll,2025-11-19,0,0.0
BD Curry Roll,2025-11-20,0,0.0
BD Curry Roll,2025-11-21,0,0.0
BD Curry Roll,2025-11-22,0,0.0
BD Curry Roll,2025-11-23,0,0.0
BD Curry Roll,2025-11-24,0,0.0
BD Curry Roll,2025-11-25,0,0.0
BD Curry Roll,2025-11-26,0,0.0
BD Curry Roll,2025-11-27,0,0.0
BD Curry Roll,2025-11-28,0,0.0
BD Curry Roll,2025-11-29,0,0.0
BD Curry Roll,2025-11-30,0,0.0
BLT,2025-11-01,0,0.0
BLT,2025-11-02,0,0.0
BLT,2025-11-03,0,0.0
BLT,2025-11-04,0,0.0
BLT,2025-11-05,0,0.0
BLT,2025-11-06,0,0.0
BLT,2025-11-07,0,0.0
BLT,2025-11-08,0,0.0
BLT,2025-11-09,0,0.0
BLT,2025-11-10,0,0.0
BLT,2025-11-11,0,0.0
BLT,2025-11-12,0,0.0
BLT,2025-11-13,0,0.0
BLT,2025-11-14,0,0.0
BLT,2025-11-15,0,0.0
BLT,2025-11-16,0,0.0
BLT,2025-11-17,0,0.0
BLT,2025-11-18,0,0.0
BLT,2025-11-19,0,0.0
BLT,2025-11-20,0,0.0
BLT,2025-11-21,0,0.0
BLT,2025-11-22,0,0.0
BLT,2025-11-23,0,0.0
BLT,2025-11-24,0,0.0
BLT,2025-11-25,0,0.0
BLT,2025-11-26,0,0.0
BLT,2025-11-27,0,0.0
BLT,2025-11-28,0,0.0
BLT,2025-11-29,0,0.0
BLT,2025-11-30,0,0.0
Bacon,2025-11-01,16,6.808822453022003
Bacon,2025-11-02,5,8.112460359930992
Bacon,2025-11-03,6,5.534442827105522
Bacon,2025-11-04,7,4.966305240988731
Bacon,2025-11-05,5,5.2119229063391685
Bacon,2025-11-06,2,4.781594179570675
Bacon,2025-11-07,6,5.975565075874329
Bacon,2025-11-08,6,6.768902227282524
Bacon,2025-11-09,11,7.112783074378967
Bacon,2025-11-10,1,4.62162558734417
Bacon,2025-11-11,4,4.392705507576466
Bacon,2025-11-12,4,4.717980198562145
Bacon,2025-11-13,8,4.515025720000267
Bacon,2025-11-14,12,5.332845211029053
Bacon,2025-11-15,6,6.259514287114143
Bacon,2025-11-16,5,6.015352346003056
Bacon,2025-11-17,4,4.269160360097885
Bacon,2025-11-18,4,3.9387917071580887
Bacon,2025-11-19,4,4.193519830703735
