Date,Product_Name,Actual_Sales
2025-11-30,Posh Ploughmans,0
2025-11-01,Quorn Burger,0
2025-11-02,Quorn Burger,0
2025-11-03,Quorn Burger,0
2025-11-04,Quorn Burger,0
2025-11-05,Quorn Burger,0
2025-11-06,Quorn Burger,0
2025-11-07,Quorn Burger,0
2025-11-08,Quorn Burger,0
2025-11-09,Quorn Burger,0
2025-11-10,Quorn Burger,0
2025-11-11,Quorn Burger,0
2025-11-12,Quorn Burger,0
2025-11-13,Quorn Burger,0
2025-11-14,Quorn Burger,0
2025-11-15,Quorn Burger,0
2025-11-16,Quorn Burger,0
2025-11-17,Quorn Burger,0
2025-11-18,Quorn Burger,0
2025-11-19,Quorn Burger,0
2025-11-20,Quorn Burger,0
2025-11-21,Quorn Burger,0
2025-11-22,Quorn Burger,0
2025-11-23,Quorn Burger,0
2025-11-24,Quorn Burger,0
2025-11-25,Quorn Burger,0
2025-11-26,Quorn Burger,0
2025-11-27,Quorn Burger,0
2025-11-28,Quorn Burger,0
2025-11-29,Quorn Burger,0
2025-11-30,Quorn Burger,0
2025-11-01,Quorn Katsu,0
2025-11-02,Quorn Katsu,0
2025-11-03,Quorn Katsu,0
2025-11-04,Quorn Katsu,0
2025-11-05,Quorn Katsu,0
2025-11-06,Quorn Katsu,0
2025-11-07,Quorn Katsu,0
2025-11-08,Quorn Katsu,0
2025-11-09,Quorn Katsu,0
2025-11-10,Quorn Katsu,0
2025-11-11,Quorn Katsu,0
2025-11-12,Quorn Katsu,0
2025-11-13,Quorn Katsu,0
2025-11-14,Quorn Katsu,0
2025-11-15,Quorn Katsu,0
2025-11-16,Quorn Katsu,0
2025-11-17,Quorn Katsu,0
2025-11-18,Quorn Katsu,0
2025-11-19,Quorn Katsu,0
2025-11-20,Quorn Katsu,0
2025-11-21,Quorn Katsu,0
2025-11-22,Quorn Katsu,0
2025-11-23,Quorn Katsu,0
2025-11-24,Quorn Katsu,0
2025-11-25,Quorn Katsu,0
2025-11-26,Quorn Katsu,0
2025-11-27,Quorn Katsu,0
2025-11-28,Quorn Katsu,0
2025-11-29,Quorn Katsu,0
2025-11-30,Quorn Katsu,0
2025-11-01,Roll & Butter ,2
2025-11-02,Roll & Butter ,4
2025-11-03,Roll & Butter ,2
2025-11-04,Roll & Butter ,2
2025-11-05,Roll & Butter ,1
2025-11-06,Roll & Butter ,1
2025-11-07,Roll & Butter ,2
2025-11-08,Roll & Butter ,2
2025-11-09,Roll & Butter ,1
2025-11-10,Roll & Butter ,0
2025-11-11,Roll & Butter ,4
2025-11-12,Roll & Butter ,3
2025-11-13,Roll & Butter ,1
2025-11-14,Roll & Butter ,2
2025-11-15,Roll & Butter ,2
2025-11-16,Roll & Butter ,1
2025-11-17,Roll & Butter ,5
2025-11-18,Roll & Butter ,9
2025-11-19,Roll & Butter ,1
2025-11-20,Roll & Butter ,1
2025-11-21,Roll & Butter ,1
2025-11-22,Roll & Butter ,1
2025-11-23,Roll & Butter ,3
2025-11-24,Roll & Butter ,2
2025-11-25,Roll & Butter ,0
2025-11-26,Roll & Butter ,1
2025-11-27,Roll & Butter ,1
2025-11-28,Roll & Butter ,1
2025-11-29,Roll & Butter ,2
2025-11-30,Roll & Butter ,2
2025-11-01,S.Eggs on Toast,2
2025-11-02,S.Eggs on Toast,6
2025-11-03,S.Eggs on Toast,4
2025-11-04,S.Eggs on Toast,5
2025-11-05,S.Eggs on Toast,4
2025-11-06,S.Eggs on Toast,6
2025-11-07,S.Eggs on Toast,4
2025-11-08,S.Eggs on Toast,1
2025-11-09,S.Eggs on Toast,5
2025-11-10,S.Eggs on Toast,1
2025-11-11,S.Eggs on Toast,5
2025-11-12,S.Eggs on Toast,0
2025-11-13,S.Eggs on Toast,3
2025-11-14,S.Eggs on Toast,5
2025-11-15,S.Eggs on Toast,5
2025-11-16,S.Eggs on Toast,5
2025-11-17,S.Eggs on Toast,3
2025-11-18,S.Eggs on Toast,2
2025-11-19,S.Eggs on Toast,1
2025-11-20,S.Eggs on Toast,1
2025-11-21,S.Eggs on Toast,1
2025-11-22,S.Eggs on Toast,10
2025-11-23,S.Eggs on Toast,5
2025-11-24,S.Eggs on Toast,1
2025-11-25,S.Eggs on Toast,1
2025-11-26,S.Eggs on Toast,3
2025-11-27,S.Eggs on Toast,3
2025-11-28,S.Eggs on Toast,0
2025-11-29,S.Eggs on Toast,2
2025-11-30,S.Eggs on Toast,5
2025-11-01,Salmon Egg Bagel,0
2025-11-02,Salmon Egg Bagel,0
2025-11-03,Salmon Egg Bagel,0
2025-11-04,Salmon Egg Bagel,0
2025-11-05,Salmon Egg Bagel,0
2025-11-06,Salmon Egg Bagel,0
2025-11-07,Salmon Egg Bagel,0
2025-11-08,Salmon Egg Bagel,0
2025-11-09,Salmon Egg Bagel,0
2025-11-10,Salmon Egg Bagel,0
2025-11-11,Salmon Egg Bagel,0
2025-11-12,Salmon Egg Bagel,0
