evaluation_horizon,product_name,model_type,WAPE,MAE,Bias
1-Month,Bakery,ARIMA,0.1341,8.44,-2.38
1-Month,Bean Soldiers,XGBoost_Simple_Daily,1.0167,0.42,-0.11
1-Month,Big Breakfast,Prophet_Hourly_Clustered,0.1848,3.08,0.45
1-Month,Black Pudding,XGBoost_Improved_Daily,0.5745,1.47,-0.54
1-Month,Breakfast Hash,XGBoost_Improved_Hourly,0.9301,0.77,-0.27
1-Month,Breakfast Muffin,Prophet_Daily_Clustered,0.3741,1.47,-0.62
1-Month,Brown Toast Bread,Prophet_Daily_Clustered,0.2183,1.84,-0.19
1-Month,Buttd Mushrooms,XGBoost_Improved_Daily,0.5209,1.19,-0.2
1-Month,Cheese & Bean JP,XGBoost_Simple_Daily,0.5897,0.69,-0.17
1-Month,Cheese JP,LSTM_Global_Daily,1.0075,0.28,-0.26
1-Month,Chick Flatbread,LSTM_Global_Hourly,0.8654,0.65,-0.36
1-Month,Chicken Club,LSTM_Global_Hourly,0.7687,0.88,-0.27
1-Month,Chilli Carne JP,Prophet_Hourly_Clustered,0.6678,0.94,-0.26
1-Month,Egg Bap,XGBoost_Improved_Daily,0.6999,1.18,-0.44
1-Month,F.Eggs on Toast,XGBoost_Improved_Daily,0.6871,1.14,-0.35
1-Month,Festive Stack,XGBoost_Improved_Hourly,0.8276,2.25,-1.22
1-Month,Fried Egg,XGBoost_Improved_Daily,0.3893,3.34,-0.51
1-Month,Hash Brown,XGBoost_Simple_Daily,0.5021,1.45,-0.12
1-Month,Ltle Bfast Bacon,XGBoost_Simple_Daily,0.9899,0.44,-0.22
1-Month,Ltle Bfast Saus,XGBoost_Improved_Hourly,0.7267,1.3,-0.69
1-Month,Mini Hash Browns,Prophet_Hourly_Clustered,0.4649,0.79,-0.17
1-Month,Multiseed Toast Bread,Prophet_Hourly_Clustered,0.5594,1.62,-0.34
1-Month,P.Eggs on Toast,Prophet_Daily_Clustered,0.2556,1.43,0.42
1-Month,Poached Egg,Prophet_Hourly_Clustered,0.5835,1.73,-0.51
1-Month,Porridge,LSTM_Global_Daily,0.9864,0.37,-0.36
1-Month,Posh Beans,LSTM_Global_Daily,0.8253,0.91,0.12
1-Month,Roll & Butter ,LSTM_Global_Daily,0.5404,1.08,-0.32
1-Month,S.Eggs on Toast,LSTM_Global_Daily,0.5559,1.86,-0.82
1-Month,Sausage,Prophet_Hourly_Clustered,0.4145,2.67,0.8
1-Month,Sausage Bap,Prophet_Hourly_Clustered,0.2541,3.08,-0.42
1-Month,Scrambled Egg,XGBoost_Improved_Daily,0.8097,1.26,-0.47
1-Month,Sourdough Toast Bread,XGBoost_Improved_Daily,0.7996,0.83,-0.39
1-Month,Streaky Bacon,Prophet_Daily_Clustered,1.0121,0.14,-0.05
1-Month,Tattie Scone,XGBoost_Improved_Daily,0.6303,1.35,-0.36
1-Month,The Breakfast,LSTM_Global_Daily,0.1588,5.4,-0.81
1-Month,Toasted Teacake,Prophet_Daily_Clustered,0.2469,2.13,-0.72
1-Month,Tuna JP,XGBoost_Improved_Daily,0.5242,1.45,-0.57
1-Month,Tuna Toastie,XGBoost_Simple_Daily,0.5087,1.26,0.02
1-Month,Vegan Breakfast,Prophet_Daily_Clustered,0.8505,0.47,-0.03
1-Month,Veggie Bap,LSTM_Global_Daily,1.05,0.58,-0.46
1-Month,Veggie Breakfast,Prophet_Hourly_Clustered,0.587,1.32,-0.48
1-Month,White Toast Bread,XGBoost_Improved_Hourly,0.1434,4.51,0.32
