Product,WAPE,MASE,MAE,Bias,RMSE
NY Deli Foccacia,N/A,N/A,0.0000,0.0000,0.0000
Marshmallows,N/A,N/A,0.0000,0.0000,0.0000
Milks Extra,N/A,N/A,0.0000,0.0000,0.0000
Moz Tom Focaccia,N/A,N/A,0.0000,0.0000,0.0000
Kids Snacks,N/A,N/A,0.0000,0.0000,0.0000
Kids Veg Sticks,N/A,N/A,0.0000,0.0000,0.0000
Quorn Katsu,N/A,N/A,0.0000,0.0000,0.0000
Quorn Burger,N/A,N/A,0.0000,0.0000,0.0000
Posh Ploughmans,N/A,N/A,0.0000,0.0000,0.0000
Pancakes Banana,N/A,N/A,0.0000,0.0000,0.0000
Mushy Peas,N/A,N/A,0.0000,0.0000,0.0000
Orange Switchel,N/A,N/A,0.0000,0.0000,0.0000
Orange Buttons,N/A,N/A,0.0000,0.0000,0.0000
Nduja Mozz Tstie,N/A,N/A,0.0000,0.0000,0.0000
Mac and Cheese,N/A,N/A,0.0000,0.0000,0.0000
Pink Lemon Slush,N/A,N/A,0.0000,0.0000,0.0000
Pistachio Syrup,N/A,N/A,0.0000,0.0000,0.0000
Pancakes Bluebry,N/A,N/A,0.0000,0.0000,0.0000
Peas,N/A,N/A,0.0000,0.0000,0.0000
Panini Rolls,N/A,N/A,0.0000,0.0000,0.0000
Parmesan Fries,N/A,N/A,0.0000,0.0000,0.0000
Pastel De Nata,N/A,N/A,0.0000,0.0000,0.0000
Scampi & Chips,N/A,N/A,0.0000,0.0000,0.0000
Seasoned Fries,N/A,N/A,0.0000,0.0000,0.0000
Side Salad,N/A,N/A,0.0000,0.0000,0.0000
Plain JP,N/A,N/A,0.0000,0.0000,0.0000
Plum Tomatoes,N/A,N/A,0.0000,0.0000,0.0000
Pig Blank Tstie,N/A,N/A,0.0000,0.0000,0.0000
Sauces,N/A,N/A,0.0000,0.0000,0.0000
Salmon Egg Bagel,N/A,N/A,0.0000,0.0000,0.0000
Lorne Sausage,N/A,N/A,0.0000,0.0000,0.0000
Loaded Hot Dog,N/A,N/A,0.0000,0.0000,0.0000
Little Pancakes,N/A,N/A,0.0000,0.0000,0.0000
Loaded Fries,N/A,N/A,0.0000,0.0000,0.0000
Loaded Nachos,N/A,N/A,0.0000,0.0000,0.0000
Lemon Drizzle,N/A,N/A,0.0000,0.0000,0.0000
Kids Sweetcorn,N/A,N/A,0.0000,0.0000,0.0000
Kids Tom Pasta,N/A,N/A,0.0000,0.0000,0.0000
Waffles,N/A,N/A,0.0000,0.0000,0.0000
Yog Bowl Banana,N/A,N/A,0.0000,0.0000,0.0000
White Bread,N/A,N/A,0.0000,0.0000,0.0000
Waffle Fries,N/A,N/A,0.0000,0.0000,0.0000
Turkey Panini,N/A,N/A,0.0000,0.0000,0.0000
The Brunch,N/A,N/A,0.0000,0.0000,0.0000
Sweet Pot Fries,N/A,N/A,0.0000,0.0000,0.0000
Soft Drinks,N/A,N/A,0.0000,0.0000,0.0000
Tomato,N/A,N/A,0.0000,0.0000,0.0000
Tom Pasta Bowl,N/A,N/A,0.0000,0.0000,0.0000
Tomato Soup Add,N/A,N/A,0.0000,0.0000,0.0000
Tomato Soup,N/A,N/A,0.0000,0.0000,0.0000
Syrups,N/A,N/A,0.0000,0.0000,0.0000
Tuna Mayo Mix,N/A,N/A,0.0440,0.0440,0.0467
Tuna Melt Panini,N/A,N/A,0.0440,0.0440,0.0467
Streaky Bacon,1.8897,0.9448,0.2606,0.0442,0.3367
Hash Brown Bites,N/A,N/A,0.0469,0.0469,0.0494
Veg Sausage Bap,N/A,N/A,0.0469,0.0469,0.0494
Extra Beans,N/A,N/A,0.0562,0.0562,0.0870
Vegan Sausage,N/A,N/A,0.1132,0.1132,0.1144
Avocado on Toast,0.7059,0.8314,1.2901,0.1200,1.4917
Little Avo Toast,N/A,N/A,0.1374,0.1374,0.1383
Breakfast Wrap,N/A,N/A,0.2214,0.2214,0.2222
Vegan Breakfast,1.1841,0.9971,0.6533,0.2561,0.7429
Avo & Hal Muffin,N/A,N/A,0.3231,0.3231,0.3234
Little Egg Toast,N/A,N/A,0.4185,0.4185,0.4188
Little Bean Toas,N/A,N/A,0.6579,0.6579,0.6586
Tuna Panini,N/A,N/A,0.8722,0.8722,0.8724
Egg Bacon Brioch,N/A,N/A,0.8922,0.8922,0.8924
Bakery,0.1496,0.8785,9.4214,6.0627,11.3115
